model,local_hour,wape,mape,bias_pct,n_hours
seasonal_naive,0,0.037434414033198624,0.03771092430976419,0.0010097328322084878,639
lightgbm,0,0.018481993513330904,0.018866790204655468,0.0031257337200118343,639
seasonal_naive,1,0.03599018630873741,0.03643733800658674,0.000854010187275739,639
lightgbm,1,0.018471982693931126,0.019009769123611495,0.0027675586137378616,639
seasonal_naive,2,0.034993459685667076,0.03554090955097284,0.00027073540295812897,638
lightgbm,2,0.018527183145740294,0.01926091069437421,0.002914085073181772,638
seasonal_naive,3,0.03445137312174654,0.03508343361007691,-0.0001392344518080102,639
lightgbm,3,0.01849812274667014,0.01933681189968767,0.0037113154779597423,639
seasonal_naive,4,0.03443655208167082,0.03513751168597132,-0.0003331403397366458,639
lightgbm,4,0.01861223925409003,0.019582323794647156,0.004318361766177342,639
seasonal_naive,5,0.03547489781295309,0.036202280345231465,-7.054246527197927e-05,639
lightgbm,5,0.018458018636820093,0.019422520581321375,0.003888185726637434,639
seasonal_naive,6,0.03948653325883418,0.04018485892528704,-0.0007899096408167925,639
lightgbm,6,0.019808605415230867,0.020789245024780616,0.0038972100275256236,639
seasonal_naive,7,0.04694388725260652,0.04773646287682809,-0.0012475178318384836,639
lightgbm,7,0.023503551077474653,0.02497644343565671,0.005532450913073873,639
seasonal_naive,8,0.04984477830154569,0.050670304956772744,-0.001440144470277992,639
lightgbm,8,0.02449125231727778,0.02602102121232883,0.004653468587746373,639
seasonal_naive,9,0.047715810479421576,0.0483723437871994,-0.0008755067754472935,639
lightgbm,9,0.021982541183848302,0.022880624111565016,0.0027769048683514027,639
seasonal_naive,10,0.04624736510919907,0.046587969198566524,-0.00030086633073691507,639
lightgbm,10,0.020634190110166744,0.021087218533522863,0.0027103538024613244,639
seasonal_naive,11,0.045949321000600715,0.04616925579908812,-8.331699184152441e-06,639
lightgbm,11,0.020398828866795046,0.02073491382730556,0.002763942950558001,639
seasonal_naive,12,0.04691029461306513,0.04706289145300733,-0.0002118043546046384,639
lightgbm,12,0.020664926399232238,0.0209174447507519,0.0023525115469296004,639
seasonal_naive,13,0.046962786717410325,0.046928629091033625,-0.000651849468052589,639
lightgbm,13,0.02122455868778179,0.021411821394553474,0.0024671220346851007,639
seasonal_naive,14,0.0481277776134313,0.04808694793917449,9.75965213161169e-06,639
lightgbm,14,0.021926835218653934,0.022131476318693086,0.0025372540443643035,639
seasonal_naive,15,0.052598598597971814,0.05278640492555968,0.0006505249648282383,639
lightgbm,15,0.024465217391064654,0.024946910714361357,0.0036062815109069103,639
seasonal_naive,16,0.0548833784538881,0.055165863089614575,0.00036503035718143484,639
lightgbm,16,0.026048852584422754,0.02668688937070852,0.0035094997973999383,639
seasonal_naive,17,0.05527372760677813,0.05549369493762826,0.0003192601911880453,639
lightgbm,17,0.02637893695958553,0.027017075177254844,0.00338246953433281,639
seasonal_naive,18,0.05303059511593283,0.05305870157713138,0.0015014324778010427,639
lightgbm,18,0.024875992435386112,0.025446142592361026,0.003108650350217837,639
seasonal_naive,19,0.04987284887860009,0.05005739666626242,0.0005449148252415559,639
lightgbm,19,0.023359556158009775,0.02396032339713146,0.002708398973690615,639
seasonal_naive,20,0.04516176458850723,0.045348136760216935,-0.001545108207141193,639
lightgbm,20,0.021704958701978007,0.022158550574136463,0.0021380963060111235,639
seasonal_naive,21,0.04152948761613137,0.04142638969359255,-0.0003266378386669781,639
lightgbm,21,0.02004865945541937,0.020375606530246722,0.002953044522512323,639
seasonal_naive,22,0.04007795143210465,0.0401387137724269,0.001414786545391135,639
lightgbm,22,0.02033412005858918,0.02077070774485178,0.003892008586359407,639
seasonal_naive,23,0.039410438682970984,0.039559883970802935,0.0019765812823218086,639
lightgbm,23,0.020891956031824834,0.021481220552827425,0.005556817624425187,639
