model,year,wape,mape,bias_pct,n_hours
seasonal_naive,2019,0.04395902321214555,0.04395970183399813,0.000969111986054823,8760
lightgbm,2019,0.019791886533317583,0.019711151068159592,0.0011334831689897382,8760
seasonal_naive,2020,0.04613054046563018,0.04550764438207245,-0.0012786975128814644,6575
lightgbm,2020,0.02406648136448976,0.025173589409873864,0.0064506929910304114,6575
