week_start,coefficient,std_error,ci_low,ci_high,weeks_from_event,is_post
2019-12-30,0.014395511212772188,0.03620768497853077,-0.05657024730872004,0.08536126973426442,-10,False
2020-01-06,-0.025677945858132992,0.030255225265580353,-0.08497709772281678,0.033621206006550795,-9,False
2020-01-13,0.01321651296667925,0.032276088143863665,-0.05004345735713378,0.07647648329049228,-8,False
2020-01-20,-0.010410996210368128,0.030624769326281706,-0.07043444112472724,0.04961244870399099,-7,False
2020-01-27,-0.020594901944361855,0.033538346140458586,-0.0863288524806986,0.045139048591974894,-6,False
2020-02-03,0.03840296616363462,0.03316559871508914,-0.02660041284364798,0.10340634517091724,-5,False
2020-02-10,-0.011323838278011082,0.02969713308383391,-0.06952914956641845,0.046881473010396295,-4,False
2020-02-17,0.011661679020267796,0.02950865664534866,-0.046174225236774114,0.0694975832773097,-3,False
2020-02-24,0.013801235704788035,0.04053170001084993,-0.06563943654865953,0.09324190795823561,-2,False
2020-03-02,-0.023470222777267853,,,,-1,False
2020-03-09,0.014675726521795593,0.03021537801519425,-0.044545326167248475,0.07389677921083967,0,True
2020-03-16,-0.021308935773537714,0.03772100407551267,-0.09524074522223114,0.05262287367515572,1,True
2020-03-23,0.01772490799994233,0.02993916221050963,-0.04095477165995914,0.07640458765984379,2,True
2020-03-30,-0.08810823944063409,0.035037169382460084,-0.15677982955048536,-0.01943664933078284,3,True
2020-04-06,-0.08637068674651066,0.03620227996354886,-0.15732585163330245,-0.015415521859718874,4,True
2020-04-13,0.05355078049494565,0.04399419066041977,-0.03267624872846551,0.13977780971835682,5,True
2020-04-20,-0.0023566032414475344,0.0422591207765098,-0.08518295798173506,0.08046975149884,6,True
2020-04-27,0.007130314995316404,0.03150913415314799,-0.05462645312889463,0.06888708311952743,7,True
2020-05-04,0.02984031214511572,0.030226389051355117,-0.029402321778236123,0.08908294606846756,8,True
2020-05-11,0.03691622160326754,0.03004186514229353,-0.02196475210403704,0.09579719531057213,9,True
2020-05-18,0.05665214958990262,0.031441589778247674,-0.004972233992145525,0.11827653317195078,10,True
2020-05-25,0.05438275216076046,0.029735040110485143,-0.0038968555346443265,0.11266235985616524,11,True
2020-06-01,0.027129519022273944,0.030704656729371026,-0.033050502324958674,0.08730954036950656,12,True
2020-06-08,0.05938028193592856,0.033146049437041046,-0.00558478119045603,0.12434534506231315,13,True
2020-06-15,0.0067448027086473294,0.03117785620171402,-0.05436267256188092,0.06785227797917559,14,True
2020-06-22,-0.008640587353281399,0.038946587342794305,-0.08497449586590175,0.06769332115933896,15,True
