month,coefficient,std_error,ci_low,ci_high,is_post,mean_raw_gap,mean_adjusted_gap
2015-01,0.02070427910533236,0.018104119231291096,-0.014779142559817153,0.05618770077048187,False,1.574704476673718,-0.00618346139442516
2015-02,0.02804682167855313,0.0090360053017643,0.010336576722982119,0.04575706663412414,False,1.6050237019537523,0.001159081178795786
2015-03,0.052304648811762555,0.011985882880560265,0.028812750042949236,0.07579654758057587,False,1.6252379476615713,0.025416908312006832
2015-04,0.04133764987591411,0.012135754557574676,0.017552008017849927,0.0651232917339783,False,1.6210896385570053,0.01444990937615671
2015-05,0.031209841179212307,0.009177474563649415,0.013222321565427006,0.04919736079299761,False,1.6185989747877854,0.004322100679455713
2015-06,0.01320580536046714,0.010769508741400154,-0.007902043903866448,0.034313654624800724,False,1.6350274446150004,-0.0136819351392892
2015-07,0.05400682079476627,0.00925910966566451,0.03585929932115713,0.07215434226837542,False,1.7012614927546956,0.027119080295009458
2015-08,0.02065860315261284,0.010015003869619005,0.0010295562631303136,0.04028765004209536,False,1.672326787627077,-0.0062291373471440635
2015-09,0.021460598112874735,0.010759458482350413,0.0003724469943139387,0.042548749231435534,False,1.6156893853073526,-0.005427142386882474
2015-10,0.024896258849218512,0.010083157100379627,0.005133634082015122,0.0446588836164219,False,1.60333353161767,-0.001991481650538196
2015-11,0.03412581693021156,0.009783992954439786,0.014949543114515938,0.05330209074590718,False,1.61287599989162,0.007238076430455657
2015-12,0.0509140018024863,0.008654849399875484,0.033950808687112255,0.06787719491786035,False,1.6062992655392518,0.024026261302729644
2016-01,0.03279451818462631,0.019453638994672385,-0.005333913613175548,0.07092294998242817,False,1.5867947157530122,0.0059067776848689205
2016-02,0.027421481534672425,0.011030542414513468,0.005802015672284541,0.04904094739706031,False,1.6043983618098723,0.0005337410349155622
2016-03,0.02519137146285754,0.013622400423912386,-0.0015080427509939001,0.05189078567670898,False,1.5981246703126648,-0.001696369036899389
2016-04,0.034081869000471526,0.014946251700345128,0.004787753963924533,0.06337598403701852,False,1.613833857681564,0.007194128500715576
2016-05,0.04152066728061189,0.014096233481512161,0.013892557339180399,0.06914877722204338,False,1.6289098008891847,0.014632926780855156
2016-06,0.03482154892208679,0.011527887679238225,0.01222730425295684,0.057415793591216735,False,1.6566431881766197,0.007933808422330142
2016-07,0.008279211058591375,0.011341268194553632,-0.013949266141743346,0.030507688258926094,False,1.6555338830185211,-0.018608529441165016
2016-08,0.02313847114271674,0.02309328680574774,-0.02212353928120286,0.06840048156663633,False,1.6748066556171806,-0.0037492693570406097
